feature_index,feature_name,class_0_mean,class_1_mean,class_0_std,class_1_std,mean_diff_class1_minus_class0,cohens_d,abs_cohens_d,raw_auc,separability_auc,auc_distance_from_random,mannwhitney_stat,mannwhitney_p,mannwhitney_q_fdr,mutual_information,mean_abs_corr_to_other_features,max_abs_corr_to_other_features,redundancy_penalty,abs_d_norm,auc_norm,mi_norm,fdr_score,feature_score_raw,feature_score
364,C3clean_dominant_asym_70_30_alpha_relpower,0.12554860973520593,-0.12829284164198565,0.9889069067904271,1.0003959562218876,-0.2538414513771916,-0.2552182059620045,0.2552182059620045,0.4306127816253178,0.5693872183746822,0.1387744367493644,19485.0,0.020998477285947906,0.2431715520265546,0.03434249168379733,0.2267385960132287,0.8302410364667236,0.7732614039867713,0.7473078851727667,0.1387744367493644,0.3494162019067114,0.7568284479734454,0.4556948978514327,0.424697811446665
366,C3clean_dominant_asym_70_30_high_alpha_relpower,0.120329333869014,-0.12295948324320057,1.0151876267051498,0.9744903296152982,-0.24328881711221456,-0.2444454905571829,0.2444454905571829,0.43043745068817396,0.569562549311826,0.13912509862365208,19491.0,0.020676221835673754,0.2431715520265546,0.0308768322467754,0.21936743044519247,0.9219947829782504,0.7806325695548075,0.7157639720822184,0.13912509862365208,0.31415499929112833,0.7568284479734454,0.43772501940262487,0.4089182355782471
25,C3_clean_025Cz_hjorth_mobility,0.1236527749572524,-0.1263555678524928,1.0374047017230514,0.9493903655266095,-0.2500083428097452,-0.2513026614881816,0.2513026614881816,0.41945004529382546,0.5805499547061745,0.16109990941234908,19867.0,0.0073755615483537375,0.21111158467627456,0.023594288288534715,0.24264190279693396,0.9705340512630231,0.757358097203066,0.7358426612303273,0.16109990941234908,0.24005906957419168,0.7888884153237254,0.44083055517214753,0.4087413657567479
182,C4_Cz_mean_high_alpha_relpower,0.13873238133479088,-0.1417647831126016,0.9978213429314259,0.9876508152190179,-0.2804971644473925,-0.2825301451695996,0.2825301451695996,0.42622950819672134,0.5737704918032787,0.14754098360655732,19635.0,0.014133890099751589,0.242248577086696,0.007822938767185317,0.20106738657729512,0.979819414869499,0.7989326134227048,0.8272807986234573,0.14754098360655732,0.07959415341631436,0.757751422913304,0.4328815967550984,0.4067700853480121
174,C3_Cz_mean_high_alpha_relpower,0.12922344677150388,-0.13204800298508979,0.9730227937106076,1.0152317639677926,-0.26127144975659367,-0.26281631097819275,0.26281631097819275,0.43070044709388977,0.5692995529061102,0.13859910581222046,19482.0,0.021161239984434588,0.2431715520265546,0.0186368695811161,0.20310658234952272,0.9778126898220231,0.7968934176504773,0.7695561257766379,0.13859910581222046,0.1896200265380471,0.7568284479734454,0.43146118116105436,0.4051713993844213
193,C3_smooth_421_hjorth_mobility,0.14564485118879755,-0.148828345203861,0.9928663219932615,0.9906821725261686,-0.29447319639265856,-0.2969118166285123,0.2969118166285123,0.42897635954530844,0.5710236404546916,0.14204728090938312,19541.0,0.018154332307746053,0.2431715520265546,0.0022246706689170725,0.2354053700654979,0.9969612614200972,0.7645946299345021,0.869392204851985,0.14204728090938312,0.022634815865530546,0.7568284479734454,0.43421362798692953,0.40354876205180584
46,C3_clean_075Cz_high_alpha_relpower,0.10020081705292466,-0.10239099884643262,0.9743649171297771,1.0207138869292784,-0.20259181589935726,-0.20308802166468393,0.20308802166468393,0.4427690599339587,0.5572309400660413,0.1144618801320827,19069.0,0.056965548709212915,0.3122212685135621,0.054788189776554086,0.2002016744748969,0.9253852059914897,0.7997983255251031,0.59466391927602,0.1144618801320827,0.5574400761986547,0.6877787314864379,0.4284599181812107,0.402726400261634
1,C3_hjorth_mobility,0.12933143209448014,-0.1321583486429952,1.0151585117042405,0.9721228892118473,-0.2614897807374753,-0.2630397504027012,0.2630397504027012,0.42620028637386403,0.5737997136261359,0.14759942725227182,19636.0,0.014095725435996524,0.242248577086696,0.017538988483234874,0.24370491287661303,0.9778216911201664,0.756295087123387,0.7702103854988007,0.14759942725227182,0.1784496826125416,0.757751422913304,0.43269851327671416,0.40106328723273166
361,C3clean_dominant_asym_70_30_hjorth_mobility,0.13153301811138135,-0.13440805675863085,0.9505786396321776,1.0361307473292007,-0.2659410748700122,-0.267597329052569,0.267597329052569,0.40828730896233306,0.5917126910376669,0.18342538207533376,20249.0,0.0022825112070453566,0.1831296503881007,0.001801088995335709,0.24200709449565613,0.899870923588901,0.7579929055043438,0.7835555690882996,0.18342538207533376,0.018325102378727334,0.8168703496118993,0.4237953883442071,0.39302694116605513
214,C4_smooth_421_high_alpha_relpower,0.13084514617191983,-0.13370514936693545,0.984490105484593,1.0034334172487933,-0.2645502955388553,-0.26617290271281313,0.26617290271281313,0.4296192396481693,0.5703807603518307,0.14076152070366144,19519.0,0.019228727283619015,0.2431715520265546,0.01125594720019385,0.22101961690859961,0.9984770531449491,0.7789803830914004,0.7793846633345807,0.14076152070366144,0.11452314979841134,0.7568284479734454,0.4206386391704115,0.39274782190449176
6,C3_high_alpha_relpower,0.11782687938458268,-0.12040233030009556,0.9662390707689732,1.0246897396842203,-0.23822920968467826,-0.2392878819182054,0.2392878819182054,0.43879489202536454,0.5612051079746354,0.12241021594927082,19205.0,0.041770966372753696,0.2823141175537836,0.028101624045870466,0.22364302800434419,0.987881668041403,0.7763569719956558,0.7006618225730844,0.12241021594927082,0.28591876302764074,0.7176858824462164,0.4170275543329741,0.3890479628292923
246,C4_smooth_532_high_alpha_relpower,0.13120965486337086,-0.13407762546147747,0.9818781775683673,1.005946856584002,-0.26528728032484833,-0.266927667348257,0.266927667348257,0.43099266532246283,0.5690073346775372,0.13801466935507434,19472.0,0.021711745716656662,0.2431715520265546,0.008429846874093538,0.21996358863169702,0.9984770531449491,0.7800364113683029,0.7815947124419399,0.13801466935507434,0.0857691137999348,0.7568284479734454,0.41469995118628644,0.38733428434578887
89,C3_clean_hjorth_mobility,0.11390121851998734,-0.11639086264064837,1.0423571808795467,0.9463762807569441,-0.2302920811606357,-0.2312064993533796,0.2312064993533796,0.4178720668595307,0.5821279331404693,0.16425586628093858,19921.0,0.006297164292257023,0.21111158467627456,0.021008461952708668,0.23269330951205555,1.0,0.7673066904879444,0.6769984823940389,0.16425586628093858,0.21374969093696927,0.7888884153237254,0.4160778017560085,0.3870322455444765
33,C3_clean_050Cz_hjorth_mobility,0.11390121851998734,-0.11639086264064837,1.0423571808795467,0.9463762807569441,-0.2302920811606357,-0.2312064993533796,0.2312064993533796,0.4178720668595307,0.5821279331404693,0.16425586628093858,19921.0,0.006297164292257023,0.21111158467627456,0.021008461952708668,0.23269330951205555,1.0,0.7673066904879444,0.6769984823940389,0.16425586628093858,0.21374969093696927,0.7888884153237254,0.4160778017560085,0.3870322455444765
180,C4_Cz_mean_alpha_relpower,0.08724835092077304,-0.0891554187004627,0.9657373318050536,1.031507102091347,-0.17640376962123575,-0.17661461047653454,0.17661461047653454,0.44893486455685105,0.551065135443149,0.10213027088629789,18858.0,0.08942473637011132,0.4066014941471179,0.06540695440847655,0.19522695440805696,0.9770563807068591,0.8047730455919431,0.5171463250253101,0.10213027088629789,0.6654802394107551,0.5933985058528821,0.40918270703650206,0.3852176589291479
17,C4_hjorth_mobility,0.14250742866198518,-0.1456223451354669,0.9634402869956892,1.0208627704422577,-0.2881297737974521,-0.2903787944969822,0.2903787944969822,0.4330089710996172,0.5669910289003828,0.13398205780076555,19403.0,0.025861106813429378,0.24525599638982284,0.0,0.278296342516473,0.9744936218048437,0.7217036574835269,0.8502626655862043,0.13398205780076555,0.0,0.7547440036101771,0.41996005354645716,0.3848980494749568
206,Cz_smooth_211_high_alpha_relpower,0.13441917823697688,-0.13735730235144528,0.9822051658044064,1.0047395968748092,-0.2717764805884222,-0.2735783215784827,0.2735783215784827,0.42804126121387454,0.5719587387861255,0.14391747757225093,19573.0,0.016685488727910185,0.242248577086696,0.0002007486449950857,0.20477484908823346,0.979819414869499,0.7952251509117665,0.801068693805973,0.14391747757225093,0.0020425084387571007,0.757751422913304,0.4069288039614602,0.3819301686352012
217,C3_smooth_611_hjorth_mobility,0.1359195647090091,-0.13889048415619865,1.0015667410419242,0.9845841430602612,-0.27481004886520777,-0.27669042790667475,0.27669042790667475,0.43011601063674354,0.5698839893632565,0.13976797872651292,19502.0,0.020096606869890853,0.2431715520265546,0.0,0.24397447736312,0.9778216911201663,0.7560255226368799,0.810181346266939,0.13976797872651292,0.0,0.7568284479734454,0.4081651085450527,0.37829054783451055
356,C4_dominant_asym_70_30_alpha_relpower,0.1294190662671593,-0.13224789831671582,0.9151082648993896,1.0688049164413818,-0.2616669645838751,-0.26322108709808995,0.26322108709808995,0.43227842552818446,0.5677215744718156,0.1354431489436312,19428.0,0.024284618739097586,0.24525599638982284,0.006107132051378805,0.22691613995770604,0.9431361023314339,0.773083860042294,0.7707413629491944,0.1354431489436312,0.06213675191606166,0.7547440036101771,0.40506632990671904,0.3774915035039388
9,Cz_hjorth_mobility,0.13268522137567904,-0.13558544479372156,0.9733633736737367,1.0139696979418305,-0.2682706661694006,-0.26998418231804194,0.26998418231804194,0.43581426609391893,0.5641857339060811,0.12837146781216213,19307.0,0.032764312440282106,0.24886795238956821,0.0,0.1654592323012443,0.8026893367939382,0.8345407676987557,0.7905445861686424,0.12837146781216213,0.0,0.7511320476104317,0.39673382365432475,0.3770408414873902
161,C3_C4_mean_hjorth_mobility,0.13728536681517098,-0.14028613986030522,0.9942077964555995,0.9917864413812968,-0.2775715066754762,-0.2795251030366422,0.2795251030366422,0.43271675287104416,0.5672832471289558,0.13456649425791167,19413.0,0.02522019579733686,0.24525599638982284,0.0,0.26478585500958174,0.9462603017266626,0.7352141449904183,0.8184816440636868,0.13456649425791167,0.0,0.7547440036101771,0.40904124877357717,0.37654874773636754
353,C4_dominant_asym_70_30_hjorth_mobility,0.13139666386531781,-0.1342687220918851,0.9462591360271784,1.0401994405100878,-0.2656653859572029,-0.267314938527841,0.267314938527841,0.4285964758481634,0.5714035241518366,0.1428070483036732,19554.0,0.017544485597772806,0.2431715520265546,0.0034995519437983624,0.2719288260449069,0.9086510886920917,0.7280711739550931,0.7827286928704774,0.1428070483036732,0.035606040465438506,0.7568284479734454,0.4067415623013849,0.3735601356392988
98,C4_clean_hjorth_complexity,-0.10012305094570904,0.1023115329336002,0.9502759767554994,1.0436813300521266,0.20243458387930924,0.20292877259808,0.20292877259808,0.5921217965576693,0.5921217965576693,0.18424359311533856,13958.0,0.002181169795905863,0.1831296503881007,0.01956358594900931,0.17483827898018126,1.0,0.8251617210198188,0.5941976172780616,0.18424359311533856,0.19904886229333973,0.8168703496118993,0.393951231057548,0.3732879044854803
66,C4_clean_050Cz_hjorth_complexity,-0.10012305094570904,0.1023115329336002,0.9502759767554994,1.0436813300521266,0.20243458387930924,0.20292877259808,0.20292877259808,0.5921217965576693,0.5921217965576693,0.18424359311533856,13958.0,0.002181169795905863,0.1831296503881007,0.01956358594900931,0.17483827898018128,1.0,0.8251617210198188,0.5941976172780616,0.18424359311533856,0.19904886229333973,0.8168703496118993,0.393951231057548,0.3732879044854803
20,C4_alpha_relpower,0.12514140526387565,-0.12787673652647327,0.9355912275632357,1.051601224517816,-0.2530181417903489,-0.25437694670648786,0.25437694670648786,0.436574033488209,0.563425966511791,0.126851933023582,19281.0,0.03488573229637378,0.25324457518849114,0.008920497364743651,0.23386920036966713,0.9847354138641125,0.7661307996303328,0.7448445685580198,0.126851933023582,0.09076121607618032,0.7467554248115089,0.39792156124994754,0.3700030820481351
190,C3_Cz_C4_mean_high_alpha_relpower,0.13043677330745732,-0.13328785031963986,0.9734881457247303,1.0144532134955628,-0.26372462362709714,-0.26532744474433884,0.26532744474433884,0.4315478799567517,0.5684521200432483,0.1369042400864966,19453.0,0.02279211844380421,0.24525599638982284,0.0,0.21878498247473782,0.9933547026754675,0.7812150175252621,0.776909052341708,0.1369042400864966,0.0,0.7547440036101771,0.39530905271088934,0.3693627474600522
